@relation AgentBattleHistory

@attribute a_x numeric
@attribute a_y numeric
@attribute a_health numeric
@attribute a_stamina numeric
@attribute o_x numeric
@attribute o_y numeric
@attribute o_health numeric
@attribute o_stamina numeric
@attribute a_action {cRest,cMoveUp,cMoveDown,cMoveLeft,cMoveRight,cLeapLeft,cLeapRight,cDefend,cAttackCardinal,cAttackDiagonal,cAttackLong}

@data
1,2,3,3,2,3,1,3,cAttackDiagonal
1,2,3,1,3,3,1,2,cMoveUp
1,3,3,0,3,3,1,0,cRest
1,3,3,3,3,3,1,3,cAttackLong
3,2,3,10,1,2,3,10,cAttackLong
3,2,3,8,1,2,2,13,cAttackLong
3,2,3,6,0,2,2,12,cLeapLeft
1,2,2,3,0,2,2,10,cAttackCardinal
1,2,2,1,0,2,1,7,cMoveLeft
0,2,1,0,0,2,1,5,cRest
0,2,1,3,0,2,1,4,cAttackCardinal
1,2,3,10,3,2,3,10,cAttackLong
1,2,2,8,3,2,2,8,cAttackLong
1,2,1,6,3,2,1,6,cAttackLong
1,2,3,10,3,2,3,10,cAttackLong
1,2,2,8,3,2,2,8,cAttackLong
1,2,1,6,3,2,1,6,cAttackLong
3,2,3,10,1,2,3,10,cAttackLong
3,2,3,8,1,3,3,9,cLeapLeft
1,2,3,5,1,4,3,8,cMoveUp
1,3,3,4,3,4,3,5,cLeapRight
3,3,3,1,4,4,3,4,cMoveUp
3,4,3,0,4,4,3,7,cRest
3,4,3,3,4,3,3,6,cAttackDiagonal
3,4,3,1,4,2,3,5,cMoveDown
3,3,3,0,4,1,3,4,cRest
3,3,3,3,4,0,3,3,cMoveDown
3,2,3,2,4,0,3,6,cMoveDown
3,1,3,1,4,0,3,9,cMoveDown
3,0,3,0,4,0,3,12,cRest
3,0,3,3,4,1,3,11,cAttackDiagonal
3,0,3,1,4,2,3,10,cMoveUp
3,1,3,0,4,3,3,9,cRest
3,1,3,3,4,4,3,8,cMoveUp
3,2,3,2,4,4,3,11,cMoveUp
3,3,3,1,4,4,3,14,cMoveUp
3,4,3,0,4,4,3,15,cRest
3,4,3,3,4,3,3,14,cAttackDiagonal
3,4,3,1,4,2,3,13,cMoveDown
3,3,3,0,4,1,3,12,cRest
3,3,3,3,4,0,3,11,cMoveDown
3,2,3,2,4,0,3,14,cMoveDown
3,1,3,1,4,0,3,15,cMoveDown
3,0,3,0,4,0,3,15,cRest
3,0,3,3,4,1,3,14,cAttackDiagonal
3,0,3,1,4,2,3,13,cMoveUp
3,1,3,0,4,3,3,12,cRest
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,4,2,3,7,cLeapRight
3,2,3,5,4,2,3,10,cAttackCardinal
3,2,3,3,4,1,3,9,cAttackDiagonal
3,2,3,1,4,2,3,8,cMoveRight
4,2,2,0,4,2,3,6,cRest
4,2,1,3,4,2,3,4,cAttackCardinal
4,2,1,1,3,2,2,3,cMoveLeft
3,2,1,0,4,2,2,0,cRest
3,2,1,3,4,2,2,3,cAttackCardinal
3,2,1,1,4,2,2,1,cMoveRight
4,2,1,0,4,2,2,0,cRest
4,2,1,3,4,2,2,3,cAttackCardinal
4,2,1,1,4,2,2,1,cRest
4,2,1,4,4,3,2,0,cAttackCardinal
4,2,1,2,4,3,1,3,cAttackCardinal
3,2,3,10,1,2,3,10,cAttackLong
3,2,3,8,1,1,3,9,cLeapLeft
1,2,2,5,1,1,3,7,cAttackCardinal
1,2,2,3,1,1,2,5,cAttackCardinal
1,2,2,1,1,2,1,4,cRest
1,2,2,4,0,2,1,3,cAttackCardinal
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,3,3,9,cLeapRight
3,2,3,5,3,4,3,8,cMoveUp
3,3,3,4,1,4,3,5,cLeapLeft
1,3,3,1,0,4,3,4,cMoveUp
1,4,3,0,0,4,3,7,cRest
1,4,3,3,0,3,3,6,cAttackDiagonal
1,4,3,1,0,2,3,5,cMoveDown
1,3,3,0,0,1,3,4,cRest
1,3,3,3,0,0,3,3,cMoveDown
1,2,3,2,0,0,3,6,cMoveDown
1,1,3,1,0,0,3,9,cMoveDown
1,0,3,0,0,0,3,12,cRest
1,0,3,3,0,1,3,11,cAttackDiagonal
1,0,3,1,0,2,3,10,cMoveUp
1,1,3,0,0,3,3,9,cRest
1,1,3,3,0,4,3,8,cMoveUp
1,2,3,2,0,4,3,11,cMoveUp
1,3,3,1,0,4,3,14,cMoveUp
1,4,3,0,0,4,3,15,cRest
1,4,3,3,0,3,3,14,cAttackDiagonal
1,4,3,1,0,2,3,13,cMoveDown
1,3,3,0,0,1,3,12,cRest
1,3,3,3,0,0,3,11,cMoveDown
1,2,3,2,0,0,3,14,cMoveDown
1,1,3,1,0,0,3,15,cMoveDown
1,0,3,0,0,0,3,15,cRest
1,0,3,3,0,1,3,14,cAttackDiagonal
1,0,3,1,0,2,3,13,cMoveUp
1,1,3,0,0,3,3,12,cRest
3,2,3,10,1,2,3,10,cAttackLong
3,2,2,8,1,2,2,8,cAttackLong
3,2,1,6,1,2,1,6,cAttackLong
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,3,3,9,cLeapRight
3,2,3,5,3,4,3,8,cMoveUp
3,3,3,4,1,4,3,5,cLeapLeft
1,3,3,1,0,4,3,4,cMoveUp
1,4,3,0,0,4,3,7,cRest
1,4,3,3,0,3,3,6,cAttackDiagonal
1,4,3,1,0,2,3,5,cMoveDown
1,3,3,0,0,1,3,4,cRest
1,3,3,3,0,0,3,3,cMoveDown
1,2,3,2,0,0,3,6,cMoveDown
1,1,3,1,0,0,3,9,cMoveDown
1,0,3,0,0,0,3,12,cRest
1,0,3,3,0,1,3,11,cAttackDiagonal
1,0,3,1,0,2,3,10,cMoveUp
1,1,3,0,0,3,3,9,cRest
1,1,3,3,0,4,3,8,cMoveUp
1,2,3,2,0,4,3,11,cMoveUp
1,3,3,1,0,4,3,14,cMoveUp
1,4,3,0,0,4,3,15,cRest
1,4,3,3,0,3,3,14,cAttackDiagonal
1,4,3,1,0,2,3,13,cMoveDown
1,3,3,0,0,1,3,12,cRest
1,3,3,3,0,0,3,11,cMoveDown
1,2,3,2,0,0,3,14,cMoveDown
1,1,3,1,0,0,3,15,cMoveDown
1,0,3,0,0,0,3,15,cRest
1,0,3,3,0,1,3,14,cAttackDiagonal
1,0,3,1,0,2,3,13,cMoveUp
1,1,3,0,0,3,3,12,cRest
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,3,3,9,cLeapRight
3,2,3,5,3,4,3,8,cMoveUp
3,3,3,4,1,4,3,5,cLeapLeft
1,3,3,1,0,4,3,4,cMoveUp
1,4,3,0,0,4,3,7,cRest
1,4,3,3,0,3,3,6,cAttackDiagonal
1,4,3,1,0,2,3,5,cMoveDown
1,3,3,0,0,1,3,4,cRest
1,3,3,3,0,0,3,3,cMoveDown
1,2,3,2,0,0,3,6,cMoveDown
1,1,3,1,0,0,3,9,cMoveDown
1,0,3,0,0,0,3,12,cRest
1,0,3,3,0,1,3,11,cAttackDiagonal
1,0,3,1,0,2,3,10,cMoveUp
1,1,3,0,0,3,3,9,cRest
1,1,3,3,0,4,3,8,cMoveUp
1,2,3,2,0,4,3,11,cMoveUp
1,3,3,1,0,4,3,14,cMoveUp
1,4,3,0,0,4,3,15,cRest
1,4,3,3,0,3,3,14,cAttackDiagonal
1,4,3,1,0,2,3,13,cMoveDown
1,3,3,0,0,1,3,12,cRest
1,3,3,3,0,0,3,11,cMoveDown
1,2,3,2,0,0,3,14,cMoveDown
1,1,3,1,0,0,3,15,cMoveDown
1,0,3,0,0,0,3,15,cRest
1,0,3,3,0,1,3,14,cAttackDiagonal
1,0,3,1,0,2,3,13,cMoveUp
1,1,3,0,0,3,3,12,cRest
1,2,3,10,3,2,3,10,cAttackLong
1,2,2,8,3,2,2,8,cAttackLong
1,2,1,6,3,2,1,6,cAttackLong
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,2,3,8,cAttackLong
1,2,3,6,2,2,2,7,cAttackCardinal
1,2,3,4,2,2,2,5,cAttackCardinal
1,2,3,2,1,2,1,4,cAttackCardinal
1,2,3,10,3,2,3,10,cAttackLong
1,2,2,8,3,2,2,8,cAttackLong
1,2,1,6,3,2,1,6,cAttackLong
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,3,3,9,cLeapRight
3,2,3,5,3,4,3,8,cMoveUp
3,3,3,4,1,4,3,5,cLeapLeft
1,3,3,1,0,4,3,4,cMoveUp
1,4,3,0,0,4,3,7,cRest
1,4,3,3,0,3,3,6,cAttackDiagonal
1,4,3,1,0,2,3,5,cMoveDown
1,3,3,0,0,1,3,4,cRest
1,3,3,3,0,0,3,3,cMoveDown
1,2,3,2,0,0,3,6,cMoveDown
1,1,3,1,0,0,3,9,cMoveDown
1,0,3,0,0,0,3,12,cRest
1,0,3,3,0,1,3,11,cAttackDiagonal
1,0,3,1,0,2,3,10,cMoveUp
1,1,3,0,0,3,3,9,cRest
1,1,3,3,0,4,3,8,cMoveUp
1,2,3,2,0,4,3,11,cMoveUp
1,3,3,1,0,4,3,14,cMoveUp
1,4,3,0,0,4,3,15,cRest
1,4,3,3,0,3,3,14,cAttackDiagonal
1,4,3,1,0,2,3,13,cMoveDown
1,3,3,0,0,1,3,12,cRest
1,3,3,3,0,0,3,11,cMoveDown
1,2,3,2,0,0,3,14,cMoveDown
1,1,3,1,0,0,3,15,cMoveDown
1,0,3,0,0,0,3,15,cRest
1,0,3,3,0,1,3,14,cAttackDiagonal
1,0,3,1,0,2,3,13,cMoveUp
1,1,3,0,0,3,3,12,cRest
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,2,2,8,cAttackLong
1,2,3,6,3,2,1,6,cAttackLong
1,2,3,10,3,2,3,10,cAttackLong
1,2,2,8,3,2,2,8,cAttackLong
1,2,1,6,3,2,1,6,cAttackLong
3,2,3,10,1,2,3,10,cAttackLong
3,2,3,8,1,2,2,8,cAttackLong
3,2,3,6,1,3,2,7,cLeapLeft
1,2,3,3,1,3,2,5,cAttackCardinal
1,2,3,1,1,3,1,8,cMoveUp
1,3,3,0,0,3,1,7,cRest
1,3,3,3,0,3,1,5,cAttackCardinal
3,2,3,10,1,2,3,10,cAttackLong
3,2,2,8,1,2,2,8,cAttackLong
3,2,1,6,1,2,1,6,cAttackLong
1,2,3,10,3,2,3,10,cAttackLong
1,2,2,8,3,2,2,8,cAttackLong
1,2,1,6,3,2,1,6,cAttackLong
3,2,3,10,1,2,3,10,cAttackLong
3,2,2,8,1,2,2,8,cAttackLong
3,2,1,6,1,2,1,6,cAttackLong
3,2,3,10,1,2,3,10,cAttackLong
3,2,3,8,1,2,2,8,cAttackLong
3,2,3,6,1,2,1,6,cAttackLong
3,2,3,10,1,2,3,10,cAttackLong
3,2,3,8,2,2,2,9,cAttackCardinal
3,2,3,6,2,2,2,7,cAttackCardinal
3,2,3,4,2,2,2,5,cAttackCardinal
3,2,3,2,2,2,2,3,cAttackCardinal
3,2,3,0,1,2,2,2,cRest
3,2,3,3,1,2,2,0,cAttackLong
3,2,3,1,1,2,1,3,cMoveLeft
2,2,3,0,1,1,1,2,cRest
2,2,3,3,1,1,1,0,cAttackDiagonal
3,2,3,10,1,2,3,10,cAttackLong
3,2,3,8,1,3,3,9,cLeapLeft
1,2,3,5,1,4,3,8,cMoveUp
1,3,3,4,3,4,3,5,cLeapRight
3,3,3,1,4,4,3,4,cMoveUp
3,4,3,0,4,4,3,7,cRest
3,4,3,3,4,3,3,6,cAttackDiagonal
3,4,3,1,4,2,3,5,cMoveDown
3,3,3,0,4,1,3,4,cRest
3,3,3,3,4,0,3,3,cMoveDown
3,2,3,2,4,0,3,6,cMoveDown
3,1,3,1,4,0,3,9,cMoveDown
3,0,3,0,4,0,3,12,cRest
3,0,3,3,4,1,3,11,cAttackDiagonal
3,0,3,1,4,2,3,10,cMoveUp
3,1,3,0,4,3,3,9,cRest
3,1,3,3,4,4,3,8,cMoveUp
3,2,3,2,4,4,3,11,cMoveUp
3,3,3,1,4,4,3,14,cMoveUp
3,4,3,0,4,4,3,15,cRest
3,4,3,3,4,3,3,14,cAttackDiagonal
3,4,3,1,4,2,3,13,cMoveDown
3,3,3,0,4,1,3,12,cRest
3,3,3,3,4,0,3,11,cMoveDown
3,2,3,2,4,0,3,14,cMoveDown
3,1,3,1,4,0,3,15,cMoveDown
3,0,3,0,4,0,3,15,cRest
3,0,3,3,4,1,3,14,cAttackDiagonal
3,0,3,1,4,2,3,13,cMoveUp
3,1,3,0,4,3,3,12,cRest
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,3,3,9,cLeapRight
3,2,3,5,3,4,3,8,cMoveUp
3,3,3,4,1,4,3,5,cLeapLeft
1,3,3,1,0,4,3,4,cMoveUp
1,4,3,0,0,4,3,7,cRest
1,4,3,3,0,3,3,6,cAttackDiagonal
1,4,3,1,0,2,3,5,cMoveDown
1,3,3,0,0,1,3,4,cRest
1,3,3,3,0,0,3,3,cMoveDown
1,2,3,2,0,0,3,6,cMoveDown
1,1,3,1,0,0,3,9,cMoveDown
1,0,3,0,0,0,3,12,cRest
1,0,3,3,0,1,3,11,cAttackDiagonal
1,0,3,1,0,2,3,10,cMoveUp
1,1,3,0,0,3,3,9,cRest
1,1,3,3,0,4,3,8,cMoveUp
1,2,3,2,0,4,3,11,cMoveUp
1,3,3,1,0,4,3,14,cMoveUp
1,4,3,0,0,4,3,15,cRest
1,4,3,3,0,3,3,14,cAttackDiagonal
1,4,3,1,0,2,3,13,cMoveDown
1,3,3,0,0,1,3,12,cRest
1,3,3,3,0,0,3,11,cMoveDown
1,2,3,2,0,0,3,14,cMoveDown
1,1,3,1,0,0,3,15,cMoveDown
1,0,3,0,0,0,3,15,cRest
1,0,3,3,0,1,3,14,cAttackDiagonal
1,0,3,1,0,2,3,13,cMoveUp
1,1,3,0,0,3,3,12,cRest
1,2,3,10,3,2,3,10,cAttackLong
1,2,2,8,3,2,2,8,cAttackLong
1,2,1,6,3,2,1,6,cAttackLong
1,2,3,10,3,2,3,10,cAttackLong
1,2,2,8,3,2,2,8,cAttackLong
1,2,1,6,3,2,1,6,cAttackLong
1,2,3,10,3,2,3,10,cAttackLong
1,2,2,8,3,2,2,8,cAttackLong
1,2,1,6,3,2,1,6,cAttackLong
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,2,2,13,cAttackLong
1,2,3,6,3,3,2,12,cLeapRight
3,2,3,3,4,3,2,9,cAttackDiagonal
3,2,3,1,4,3,1,8,cMoveUp
3,3,3,0,4,3,1,6,cRest
3,3,2,3,4,3,1,4,cAttackCardinal
1,2,3,10,3,2,3,10,cAttackLong
1,2,2,8,3,2,2,8,cAttackLong
1,2,1,6,3,2,1,6,cAttackLong
3,2,3,10,1,2,3,10,cAttackLong
3,2,2,8,1,2,2,8,cAttackLong
3,2,1,6,1,2,1,6,cAttackLong
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,3,3,9,cLeapRight
3,2,3,5,3,4,3,8,cMoveUp
3,3,3,4,1,4,3,5,cLeapLeft
1,3,3,1,0,4,3,4,cMoveUp
1,4,3,0,0,4,3,7,cRest
1,4,3,3,0,3,3,6,cAttackDiagonal
1,4,3,1,0,2,3,5,cMoveDown
1,3,3,0,0,1,3,4,cRest
1,3,3,3,0,0,3,3,cMoveDown
1,2,3,2,0,0,3,6,cMoveDown
1,1,3,1,0,0,3,9,cMoveDown
1,0,3,0,0,0,3,12,cRest
1,0,3,3,0,1,3,11,cAttackDiagonal
1,0,3,1,0,2,3,10,cMoveUp
1,1,3,0,0,3,3,9,cRest
1,1,3,3,0,4,3,8,cMoveUp
1,2,3,2,0,4,3,11,cMoveUp
1,3,3,1,0,4,3,14,cMoveUp
1,4,3,0,0,4,3,15,cRest
1,4,3,3,0,3,3,14,cAttackDiagonal
1,4,3,1,0,2,3,13,cMoveDown
1,3,3,0,0,1,3,12,cRest
1,3,3,3,0,0,3,11,cMoveDown
1,2,3,2,0,0,3,14,cMoveDown
1,1,3,1,0,0,3,15,cMoveDown
1,0,3,0,0,0,3,15,cRest
1,0,3,3,0,1,3,14,cAttackDiagonal
1,0,3,1,0,2,3,13,cMoveUp
1,1,3,0,0,3,3,12,cRest
3,2,3,10,1,2,3,10,cAttackLong
3,2,3,8,1,3,3,9,cLeapLeft
1,2,3,5,1,4,3,8,cMoveUp
1,3,3,4,3,4,3,5,cLeapRight
3,3,3,1,4,4,3,4,cMoveUp
3,4,3,0,4,4,3,7,cRest
3,4,3,3,4,3,3,6,cAttackDiagonal
3,4,3,1,4,2,3,5,cMoveDown
3,3,3,0,4,1,3,4,cRest
3,3,3,3,4,0,3,3,cMoveDown
3,2,3,2,4,0,3,6,cMoveDown
3,1,3,1,4,0,3,9,cMoveDown
3,0,3,0,4,0,3,12,cRest
3,0,3,3,4,1,3,11,cAttackDiagonal
3,0,3,1,4,2,3,10,cMoveUp
3,1,3,0,4,3,3,9,cRest
3,1,3,3,4,4,3,8,cMoveUp
3,2,3,2,4,4,3,11,cMoveUp
3,3,3,1,4,4,3,14,cMoveUp
3,4,3,0,4,4,3,15,cRest
3,4,3,3,4,3,3,14,cAttackDiagonal
3,4,3,1,4,2,3,13,cMoveDown
3,3,3,0,4,1,3,12,cRest
3,3,3,3,4,0,3,11,cMoveDown
3,2,3,2,4,0,3,14,cMoveDown
3,1,3,1,4,0,3,15,cMoveDown
3,0,3,0,4,0,3,15,cRest
3,0,3,3,4,1,3,14,cAttackDiagonal
3,0,3,1,4,2,3,13,cMoveUp
3,1,3,0,4,3,3,12,cRest
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,2,2,2,9,cAttackCardinal
1,2,2,6,2,2,1,7,cAttackCardinal
3,2,3,10,1,2,3,10,cAttackLong
3,2,2,8,1,2,2,8,cAttackLong
3,2,1,6,1,2,1,6,cAttackLong
3,2,3,10,1,2,3,10,cAttackLong
3,2,3,8,1,2,2,13,cAttackLong
3,2,3,6,1,3,2,12,cLeapLeft
1,2,3,3,2,3,2,11,cAttackDiagonal
1,2,2,1,2,3,1,9,cMoveUp
1,3,2,0,2,2,1,8,cRest
1,3,2,3,3,2,1,7,cLeapRight
3,3,2,0,4,2,1,4,cRest
3,3,2,3,4,3,1,3,cAttackCardinal
3,3,2,1,4,2,1,2,cMoveDown
3,2,2,0,4,2,1,0,cRest
3,2,2,3,4,2,1,3,cAttackCardinal
3,2,2,1,4,1,1,2,cMoveDown
3,1,2,0,4,0,1,1,cRest
3,1,2,3,4,0,1,0,cAttackDiagonal
3,2,3,10,1,2,3,10,cAttackLong
3,2,3,8,1,3,3,9,cLeapLeft
1,2,3,5,1,4,3,8,cMoveUp
1,3,3,4,3,4,3,5,cLeapRight
3,3,3,1,4,4,3,4,cMoveUp
3,4,3,0,4,4,3,7,cRest
3,4,3,3,4,3,3,6,cAttackDiagonal
3,4,3,1,4,2,3,5,cMoveDown
3,3,3,0,4,1,3,4,cRest
3,3,3,3,4,0,3,3,cMoveDown
3,2,3,2,4,0,3,6,cMoveDown
3,1,3,1,4,0,3,9,cMoveDown
3,0,3,0,4,0,3,12,cRest
3,0,3,3,4,1,3,11,cAttackDiagonal
3,0,3,1,4,2,3,10,cMoveUp
3,1,3,0,4,3,3,9,cRest
3,1,3,3,4,4,3,8,cMoveUp
3,2,3,2,4,4,3,11,cMoveUp
3,3,3,1,4,4,3,14,cMoveUp
3,4,3,0,4,4,3,15,cRest
3,4,3,3,4,3,3,14,cAttackDiagonal
3,4,3,1,4,2,3,13,cMoveDown
3,3,3,0,4,1,3,12,cRest
3,3,3,3,4,0,3,11,cMoveDown
3,2,3,2,4,0,3,14,cMoveDown
3,1,3,1,4,0,3,15,cMoveDown
3,0,3,0,4,0,3,15,cRest
3,0,3,3,4,1,3,14,cAttackDiagonal
3,0,3,1,4,2,3,13,cMoveUp
3,1,3,0,4,3,3,12,cRest
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,4,2,3,9,cLeapRight
3,2,3,5,4,1,3,8,cAttackDiagonal
3,2,3,3,4,0,3,7,cMoveDown
3,1,3,2,4,0,3,5,cAttackDiagonal
3,1,3,0,4,1,3,4,cRest
3,1,3,3,4,0,3,3,cAttackDiagonal
3,1,3,1,4,0,2,1,cMoveDown
3,0,3,0,4,0,2,0,cRest
3,0,3,3,4,0,2,3,cAttackCardinal
3,0,3,1,4,1,2,2,cMoveUp
3,1,3,0,3,1,2,1,cRest
3,1,3,3,2,1,2,0,cAttackCardinal
3,1,3,1,2,1,1,3,cMoveLeft
2,1,3,0,1,1,1,2,cRest
2,1,3,3,1,0,1,1,cAttackDiagonal
2,1,3,1,2,0,1,0,cMoveDown
2,0,3,0,2,0,1,3,cRest
2,0,3,3,0,0,1,0,cAttackLong
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,1,3,9,cLeapRight
3,2,3,5,3,1,3,7,cAttackCardinal
3,2,2,3,3,1,2,5,cAttackCardinal
3,2,2,1,3,1,1,8,cMoveDown
3,1,2,0,4,1,1,7,cRest
3,1,2,3,4,1,1,10,cAttackCardinal
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,3,3,9,cLeapRight
3,2,3,5,3,4,3,8,cMoveUp
3,3,3,4,1,4,3,5,cLeapLeft
1,3,3,1,0,4,3,4,cMoveUp
1,4,3,0,0,4,3,7,cRest
1,4,3,3,0,3,3,6,cAttackDiagonal
1,4,3,1,0,2,3,5,cMoveDown
1,3,3,0,0,1,3,4,cRest
1,3,3,3,0,0,3,3,cMoveDown
1,2,3,2,0,0,3,6,cMoveDown
1,1,3,1,0,0,3,9,cMoveDown
1,0,3,0,0,0,3,12,cRest
1,0,3,3,0,1,3,11,cAttackDiagonal
1,0,3,1,0,2,3,10,cMoveUp
1,1,3,0,0,3,3,9,cRest
1,1,3,3,0,4,3,8,cMoveUp
1,2,3,2,0,4,3,11,cMoveUp
1,3,3,1,0,4,3,14,cMoveUp
1,4,3,0,0,4,3,15,cRest
1,4,3,3,0,3,3,14,cAttackDiagonal
1,4,3,1,0,2,3,13,cMoveDown
1,3,3,0,0,1,3,12,cRest
1,3,3,3,0,0,3,11,cMoveDown
1,2,3,2,0,0,3,14,cMoveDown
1,1,3,1,0,0,3,15,cMoveDown
1,0,3,0,0,0,3,15,cRest
1,0,3,3,0,1,3,14,cAttackDiagonal
1,0,3,1,0,2,3,13,cMoveUp
1,1,3,0,0,3,3,12,cRest
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,3,3,9,cLeapRight
3,2,3,5,3,3,3,7,cAttackCardinal
3,2,3,3,3,3,3,5,cAttackCardinal
3,2,3,1,2,3,3,4,cMoveUp
3,3,3,0,1,3,3,3,cRest
3,3,3,3,1,2,3,2,cLeapLeft
1,3,2,0,1,2,3,0,cRest
1,3,2,3,1,2,3,3,cAttackCardinal
1,3,2,1,1,1,3,2,cMoveDown
1,2,1,0,1,1,3,0,cRest
1,2,1,3,1,1,3,3,cAttackCardinal
1,2,1,1,3,1,3,0,cMoveDown
1,1,1,0,3,1,3,3,cRest
1,1,1,3,3,1,3,1,cAttackLong
1,1,1,1,4,1,3,0,cMoveRight
2,1,1,0,4,1,3,3,cRest
2,1,1,3,4,2,3,2,cLeapRight
4,1,1,0,4,2,3,0,cRest
4,1,1,3,4,2,3,3,cAttackCardinal
4,1,1,1,4,2,2,0,cMoveUp
4,2,1,0,4,2,2,3,cRest
4,2,1,3,3,2,2,2,cAttackCardinal
4,2,1,1,3,2,1,0,cMoveLeft
3,2,1,0,3,2,1,3,cRest
3,2,3,10,1,2,3,10,cAttackLong
3,2,2,8,1,2,2,8,cAttackLong
3,2,1,6,1,2,1,6,cAttackLong
3,2,3,10,1,2,3,10,cAttackLong
3,2,3,8,1,1,3,9,cLeapLeft
1,2,3,5,1,0,3,8,cMoveDown
1,1,3,4,1,0,3,6,cAttackCardinal
1,1,3,2,1,0,2,9,cAttackCardinal
1,1,3,0,0,0,2,6,cRest
1,1,3,3,0,0,2,4,cAttackDiagonal
1,1,3,1,0,0,1,1,cMoveDown
1,0,3,0,0,0,1,0,cRest
1,0,3,3,0,0,1,3,cAttackCardinal
1,2,3,10,3,2,3,10,cAttackLong
1,2,2,8,3,2,2,8,cAttackLong
1,2,1,6,3,2,1,6,cAttackLong
3,2,3,10,1,2,3,10,cAttackLong
3,2,2,8,1,2,2,8,cAttackLong
3,2,1,6,1,2,1,6,cAttackLong
1,2,3,10,3,2,3,10,cAttackLong
1,2,2,8,3,2,2,8,cAttackLong
1,2,1,6,3,2,1,6,cAttackLong
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,4,2,3,7,cLeapRight
3,2,2,5,4,2,3,5,cAttackCardinal
3,2,2,3,4,2,2,4,cAttackCardinal
3,2,2,1,4,1,2,3,cMoveDown
3,1,1,0,4,1,2,1,cRest
3,1,1,3,4,1,2,0,cAttackCardinal
3,1,1,1,4,1,1,3,cMoveRight
4,1,1,0,4,1,1,1,cRest
4,1,1,3,4,0,1,0,cAttackCardinal
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,2,3,8,cAttackLong
1,2,3,6,3,3,3,7,cLeapRight
3,2,3,3,3,2,3,6,cAttackCardinal
3,2,2,1,3,2,2,4,cRest
3,2,1,4,3,2,2,2,cAttackCardinal
3,2,3,10,1,2,3,10,cAttackLong
3,2,3,8,1,3,3,9,cLeapLeft
1,2,3,5,1,4,3,8,cMoveUp
1,3,3,4,3,4,3,5,cLeapRight
3,3,3,1,4,4,3,4,cMoveUp
3,4,3,0,4,4,3,7,cRest
3,4,3,3,4,3,3,6,cAttackDiagonal
3,4,3,1,4,2,3,5,cMoveDown
3,3,3,0,4,1,3,4,cRest
3,3,3,3,4,0,3,3,cMoveDown
3,2,3,2,4,0,3,6,cMoveDown
3,1,3,1,4,0,3,9,cMoveDown
3,0,3,0,4,0,3,12,cRest
3,0,3,3,4,1,3,11,cAttackDiagonal
3,0,3,1,4,2,3,10,cMoveUp
3,1,3,0,4,3,3,9,cRest
3,1,3,3,4,4,3,8,cMoveUp
3,2,3,2,4,4,3,11,cMoveUp
3,3,3,1,4,4,3,14,cMoveUp
3,4,3,0,4,4,3,15,cRest
3,4,3,3,4,3,3,14,cAttackDiagonal
3,4,3,1,4,2,3,13,cMoveDown
3,3,3,0,4,1,3,12,cRest
3,3,3,3,4,0,3,11,cMoveDown
3,2,3,2,4,0,3,14,cMoveDown
3,1,3,1,4,0,3,15,cMoveDown
3,0,3,0,4,0,3,15,cRest
3,0,3,3,4,1,3,14,cAttackDiagonal
3,0,3,1,4,2,3,13,cMoveUp
3,1,3,0,4,3,3,12,cRest
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,3,3,9,cLeapRight
3,2,3,5,3,4,3,8,cMoveUp
3,3,3,4,1,4,3,5,cLeapLeft
1,3,3,1,0,4,3,4,cMoveUp
1,4,3,0,0,4,3,7,cRest
1,4,3,3,0,3,3,6,cAttackDiagonal
1,4,3,1,0,2,3,5,cMoveDown
1,3,3,0,0,1,3,4,cRest
1,3,3,3,0,0,3,3,cMoveDown
1,2,3,2,0,0,3,6,cMoveDown
1,1,3,1,0,0,3,9,cMoveDown
1,0,3,0,0,0,3,12,cRest
1,0,3,3,0,1,3,11,cAttackDiagonal
1,0,3,1,0,2,3,10,cMoveUp
1,1,3,0,0,3,3,9,cRest
1,1,3,3,0,4,3,8,cMoveUp
1,2,3,2,0,4,3,11,cMoveUp
1,3,3,1,0,4,3,14,cMoveUp
1,4,3,0,0,4,3,15,cRest
1,4,3,3,0,3,3,14,cAttackDiagonal
1,4,3,1,0,2,3,13,cMoveDown
1,3,3,0,0,1,3,12,cRest
1,3,3,3,0,0,3,11,cMoveDown
